"종목코드,종목명"
"005930,삼성전자"
"000660,SK하이닉스"
"402340,SK스퀘어"
"009150,삼성전기"
"005380,현대차"
"373220,LG에너지솔루션"
"032830,삼성생명"
"028260,삼성물산"
"329180,HD현대중공업"
"000270,기아"
"034020,두산에너빌리티"
"207940,삼성바이오로직스"
"105560,KB금융"
"012450,한화에어로스페이스"
"012330,현대모비스"
"055550,신한지주"
"034730,SK"
"006400,삼성SDI"
"267260,HD현대일렉트릭"
"042660,한화오션"
"068270,셀트리온"
"010120,LS ELECTRIC"
"066570,LG전자"
"035420,NAVER"
"298040,효성중공업"
"086790,하나금융지주"
"042700,한미반도체"
"009540,HD한국조선해양"
"005490,POSCO홀딩스"
"000810,삼성화제"
"011070,LG이노텍"
"006800,미래에셋증권"
"000150,두산"
"010130,고려아연"
"051910,LG화학"
"015760,한국전력"
"010140,삼성중공업"
"064350,현대로템"
"316140,우리금유지주"
"079550,LIG디펜스앤어로스페이스"
"017670,SK텔레콤"
"267250,HD현대"
"011200,HMM"
"272210,한화시스템"
"307950,현대오토에버"
"033780,KT&G"
"138040,메리츠금융지주"
"096770,SK이노베이션"
"003670,포스코퓨처엠"
"024110,기업은행"
"018260,삼성에스디에스"
"035720,카카오"
"003550,LG"
"086280,현대글로비스"
"000720,현대건설"
"047810,한국항공우주"
"278470,에이피알"
"030200,KT"
"071050,한국금융지주"
"006260,LS"
"010950,S-Oil"
"005940,NH투자증권"
"323410,카카오뱅크"
"047050,포스코인터내셔널"
"443060,HD현대마린솔루션"
"0126Z0,삼성에피스홀딩스"
"047040,대우건설"
"016360,삼성증권"
"028050,삼성E&A"
"259960,크래프톤"
"003490,대한항공"
"039490,키움증권"
"005830,DB손해보험"
"352820,하이브"
"007660,이수페타시스"
"064400,LG씨엔에스"
"000880,한화"
"161390,한국타이어앤테크놀로지"
"003230,삼양식품"
"180640,한진칼"
"001440,대한전선"
"062040,산일전기"
"267270,HD건설기계"
"078930,GS"
"009830,한화솔루션"
"004170,신세계"
"011790,SKC"
"454910,두산로보틱스"
"034220,LG디스플레이"
"326030,SK바이오팜"
"032640,LG유플러스"
"000990,DB하이텍"
"241560,두산밥캣"
"090430,아모레퍼시픽"
"021240,코웨이"
"377300,카카오페이"
"000100,유한양행"
"029780,삼성카드"
"010060,OCI홀딩스"
"066970,엘앤에프"
"138930,BNK금융지주"
"036570,NC"
"023530,롯데쇼핑"
"128940,한미약품"
"001040,CJ"
"018880,한온시스템"
"175330,JB금융지주"
"271560,오리온"
"052690,한전기술"
"082740,한화엔진"
"088350,한화생명"
"002380,KCC"
"004020,현대제철"
"069960,현대백화점"
"022100,포스코DX"
"450080,에코프로머티"
"051900,LG생활건강"
"204320,HL만도"
"111770,영원무역"
"005850,에스엘"
"001450,현대해상"
"035250,강원랜드"
"375500,DL이앤씨"
"011170,롯데케미칼"
"251270,넷마블"
"036460,한국가스공사"
"011780,금호석유화학"
"014680,한솔케미칼"
"017800,현대엘리베이터"
"302440,SK바이오사이언스"
"012750,에스원"
"383220,F&F"
"097950,CJ제일제담"
"139130,iM금융지주"
"028670,팬오션"
"009420,한올바이오파마"
"004990,롯데지주"
"000240,한국앤컴퍼니"
"457190,이수스페셜티케이멀"
"007340,DN오토모티브"
"026960,동서"
"139480,이마트"
"071970,HD현대마린엔진"
"009970,영원무역홀딩스"
"030000,제일기획"
"483650,달바글로벌"
"112610,씨에스윈드"
"051600,한전KPS"
"008770,호텔신라"
"011210,현대위아"
"004370,농심"
"081660,미스토홀딩스"
"282330,BGF리테일"
"103140,풍산"
"120110,코오롱인더"
"007070,GS리테일"
"008930,한미사이언스"
"093370,후성"
"161890,한국콜마"
"000120,CJ대한통운"
"192820,코스맥스"
"002790,아모레퍼시픽홀딩스"
"017960,한국카본"
"001430,세아베스틸지주"
"001800,오리온홀딩스"
"361610,SK아이이테크놀로지"
"298020,효성티앤씨"
"006280,녹십자"
"006040,동원산업"
"073240,금호타이어"
"192080,더블유게임즈"
"034230,파라다이스"
"069620,대웅제약"
"007310,오뚜기"
"004000,롯데정밀화학"
"000210,DL"
"000080,하이트진로"
"300720,한일시멘트"
"003090,대웅제약"
"003240,태광산업"
"185750,종근당"
"005300,롯데칠성"
"280360,롯데웰푸드"
"456040,OCI"
"298050,HS효성첨단소재"
"006650,대한유화"
"000670,영풍"
"137310,에스디바이오센서"
"071320,지역난방공사"
"009240,한샘"
"285130,SK케미칼"
"069260,TKG휴켐스"
"001680,대상"
"014820,동원시스템즈"
"003030,세아제강지주"
"002840,미원상사"
"005420,코스모화학"
"268280,미원에스씨"
"008730,율촌화학"
"002030,아세아"
